"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.9727,2.3572e+05,1.0105,318.91,16.076,0,73322,-0.8052,262.59,1,1.458,1.458,0.3,0
0.97066,2.3528e+05,1.013,318.91,15.672,0,73107,-0.81142,262.37,1,1.461,1.461,0.3,0
0.96862,2.3485e+05,1.0155,318.91,15.266,0,72891,-0.81761,262.15,1,1.464,1.464,0.3,0
0.96657,2.3441e+05,1.018,318.91,14.86,0,72676,-0.8238,261.93,1,1.467,1.467,0.3,0
0.96453,2.3398e+05,1.0205,318.9,14.452,0,72462,-0.82998,261.71,1,1.47,1.47,0.3,0
0.9625,2.3355e+05,1.023,318.89,14.043,0,72247,-0.83615,261.49,1,1.473,1.473,0.3,0
0.96046,2.3312e+05,1.0255,318.88,13.633,0,72033,-0.8423,261.27,1,1.476,1.476,0.3,0
0.95843,2.3268e+05,1.028,318.86,13.221,0,71820,-0.84844,261.05,1,1.479,1.479,0.3,0
0.9564,2.3225e+05,1.0305,318.84,12.809,0,71607,-0.85457,260.82,1,1.482,1.482,0.3,0
0.95437,2.3182e+05,1.033,318.82,12.396,0,71394,-0.86069,260.6,1,1.485,1.485,0.3,0
0.95234,2.3139e+05,1.0355,318.79,11.982,0,71182,-0.8668,260.38,1,1.488,1.488,0.3,0
0.95032,2.3096e+05,1.038,318.75,11.567,0,70971,-0.87289,260.16,1,1.491,1.491,0.3,0
0.94829,2.3052e+05,1.0405,318.72,11.151,0,70759,-0.87897,259.94,1,1.494,1.494,0.3,0
0.94628,2.3009e+05,1.043,318.68,10.734,0,70549,-0.88504,259.72,1,1.497,1.497,0.3,0
0.94426,2.2966e+05,1.0455,318.64,10.317,0,70338,-0.89109,259.5,1,1.5,1.5,0.3,0
0.94225,2.2923e+05,1.048,318.59,9.8988,0,70128,-0.89713,259.27,1,1.503,1.503,0.3,0
0.94023,2.288e+05,1.0505,318.54,9.4801,0,69919,-0.90316,259.05,1,1.506,1.506,0.3,0
0.93823,2.2838e+05,1.0529,318.49,9.0608,0,69710,-0.90918,258.83,1,1.509,1.509,0.3,0
0.93622,2.2795e+05,1.0554,318.43,8.6408,0,69501,-0.91517,258.61,1,1.512,1.512,0.3,0
0.93422,2.2752e+05,1.0579,318.37,8.2205,0,69293,-0.92116,258.39,1,1.515,1.515,0.3,0
0.93222,2.2709e+05,1.0604,318.31,7.7995,0,69086,-0.92713,258.17,1,1.518,1.518,0.3,0
0.93022,2.2666e+05,1.0629,318.24,7.3781,0,68879,-0.93309,257.95,1,1.521,1.521,0.3,0
0.92823,2.2624e+05,1.0653,318.17,6.9565,0,68672,-0.93904,257.72,1,1.524,1.524,0.3,0
0.92624,2.2581e+05,1.0678,318.1,6.5343,0,68466,-0.94497,257.5,1,1.527,1.527,0.3,0
0.92425,2.2538e+05,1.0703,318.02,6.1119,0,68261,-0.95089,257.28,1,1.53,1.53,0.3,0
0.92227,2.2496e+05,1.0727,317.94,5.6893,0,68056,-0.95679,257.06,1,1.533,1.533,0.3,0
0.92029,2.2453e+05,1.0752,317.86,5.2663,0,67851,-0.96267,256.84,1,1.536,1.536,0.3,0
0.91831,2.2411e+05,1.0777,317.77,4.8433,0,67647,-0.96855,256.62,1,1.539,1.539,0.3,0
0.91634,2.2369e+05,1.0801,317.68,4.4199,0,67444,-0.9744,256.4,1,1.542,1.542,0.3,0
0.91437,2.2326e+05,1.0826,317.59,3.9966,0,67241,-0.98024,256.18,1,1.545,1.545,0.3,0
0.9124,2.2284e+05,1.085,317.49,3.5732,0,67038,-0.98607,255.96,1,1.548,1.548,0.3,0
0.91044,2.2242e+05,1.0875,317.39,3.1497,0,66836,-0.99188,255.74,1,1.551,1.551,0.3,0
0.90847,2.22e+05,1.0899,317.29,2.7262,0,66635,-0.99768,255.52,1,1.554,1.554,0.3,0
