VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         305,      -8.061672385,      -4.892316184,      -6.589751488,      -2.572693737
          0,           0,         306,       -8.06945968,      -4.904372464,      -6.600518715,      -2.584437526
          0,           0,         307,      -8.077277372,      -4.916456708,      -6.611314057,      -2.596208069
          0,           0,         308,      -8.085125459,      -4.928568949,      -6.622137484,      -2.608005374
          0,           0,         309,      -8.093003935,       -4.94070922,      -6.632988939,      -2.619829446
          0,           0,         310,      -8.100912784,      -4.952877558,      -6.643868407,      -2.631680296
          0,           0,         311,      -8.108851987,      -4.965073996,      -6.654775831,       -2.64355793
          0,           0,         312,      -8.116821517,      -4.977298571,      -6.665711177,      -2.655462358
          0,           0,         313,      -8.124821341,       -4.98955132,      -6.676674396,      -2.667393588
          0,           0,         314,      -8.132851424,      -5.001832282,      -6.687665457,      -2.679351629
          0,           0,         315,      -8.140911723,      -5.014141493,      -6.698684329,      -2.691336494
          0,           0,         316,      -8.149002195,      -5.026478995,      -6.709730979,      -2.703348192
          0,           0,         317,      -8.157122788,      -5.038844826,      -6.720805356,      -2.715386735
          0,           0,         318,      -8.165273447,      -5.051239028,      -6.731907445,      -2.727452137
          0,           0,         319,      -8.173454117,      -5.063661644,      -6.743037179,      -2.739544406
          0,           0,         320,      -8.181664733,      -5.076112715,      -6.754194556,      -2.751663558
          0,           0,         321,      -8.189905234,      -5.088592284,      -6.765379511,      -2.763809605
          0,           0,         322,      -8.198175553,      -5.101100398,      -6.776592036,      -2.775982562
          0,           0,         323,      -8.206475619,        -5.1136371,       -6.78783211,      -2.788182447
          0,           0,         324,      -8.214805361,      -5.126202436,      -6.799099692,      -2.800409273
          0,           0,         325,        -8.2231647,      -5.138796455,      -6.810394741,      -2.812663055
          0,           0,         326,      -8.231553564,      -5.151419203,      -6.821717228,      -2.824943808
