Density,Momentumx,Momentumy,Energy
0.74016,297.56,-20.356,185140
0.72909,295.34,-23.111,182650
0.71955,293.4,-25.495,180510
0.71009,291.58,-27.798,178400
0.69938,289.18,-30.382,175980
0.69011,287.08,-32.616,173890
0.68096,285.08,-34.78,171840
0.67066,282.53,-37.16,169500
0.66181,280.34,-39.235,167490
0.6529,278.13,-41.226,165460
0.64328,275.63,-43.416,163270
0.63431,273.09,-45.26,161210
0.62692,271.34,-47.172,159560
0.61714,267.84,-48.979,157210
0.60988,266.98,-51.071,155710
0.59094,261.01,-51.503,151220
0.60776,267.33,-52.816,155380
0.68975,259.86,-51.739,171070
0.97759,251.72,-57.598,231600
1.1603,241.88,-58.947,270950
1.1317,247.29,-59.756,264990
1.1217,248.49,-61.321,262900
1.1299,247.28,-62.929,264650
1.1362,245.87,-64.233,265960
1.1401,244.32,-65.482,266760
1.1452,242.42,-66.637,267770
1.1511,240.28,-67.656,268960
1.1572,237.95,-68.561,270180
1.1635,235.52,-69.324,271440
1.1698,232.94,-70.039,272690
1.1763,230.19,-70.627,273990
1.183,227.43,-71.037,275330
1.1895,224.53,-71.464,276600
1.1961,221.44,-71.739,277920
1.203,218.42,-71.806,279280
1.2093,215.24,-71.948,280530
1.216,211.86,-71.908,281830
1.2228,208.61,-71.629,283180
1.229,205.18,-71.481,284400
1.2356,201.5,-71.114,285680
1.2423,198,-70.479,287010
1.2484,194.29,-70.02,288180
1.2549,190.29,-69.299,289440
1.2615,186.5,-68.279,290750
1.2674,182.44,-67.465,291890
1.2739,178.05,-66.336,293130
1.2804,173.86,-64.867,294420
1.2863,169.34,-63.612,295540
1.2927,164.41,-61.964,296780
1.2993,159.66,-59.912,298060
1.3052,154.48,-58.005,299170
1.3118,148.79,-55.547,300430
1.3184,143.12,-52.476,301710
1.3246,137.01,-49.112,302890
1.3313,130.25,-44.216,304160
1.3385,122.79,-38.763,305510
1.3426,113.25,-32.994,306160
1.3485,110.86,-22.014,307370
1.3456,119.92,-11.703,306900
1.3362,129.64,-8.5426,305050
1.3325,136.43,-6.5558,304400
1.3271,142.56,-5.2139,303350
1.3224,147.77,-4.357,302470
1.3181,152.35,-3.7245,301650
1.3141,156.46,-3.2387,300880
1.3103,160.19,-2.8541,300150
1.3067,163.6,-2.5397,299450
1.3032,166.75,-2.2777,298790
1.2999,169.66,-2.0558,298170
1.2968,172.38,-1.8656,297560
1.2938,174.93,-1.7009,296980
1.2909,177.31,-1.5572,296430
1.2881,179.56,-1.431,295890
1.2854,181.68,-1.3194,295380
1.2828,183.69,-1.2202,294880
1.2803,185.6,-1.1316,294390
1.2779,187.41,-1.0521,293930
1.2756,189.13,-0.9806,293480
1.2733,190.77,-0.91595,293040
1.2711,192.34,-0.85731,292610
1.2689,193.84,-0.80397,292200
1.2669,195.27,-0.7553,291800
1.2649,196.65,-0.71076,291410
1.2629,197.96,-0.66989,291030
1.261,199.23,-0.6323,290660
1.2591,200.45,-0.59764,290300
1.2573,201.62,-0.56562,289950
1.2556,202.74,-0.53596,289610
1.2539,203.83,-0.50845,289280
1.2522,204.88,-0.48287,288960
1.2506,205.89,-0.45904,288640
1.249,206.86,-0.43682,288340
1.2474,207.8,-0.41605,288040
1.2459,208.71,-0.39662,287750
1.2445,209.59,-0.3784,287460
1.2431,210.43,-0.36129,287180
1.2417,211.26,-0.34522,286910
1.2403,212.05,-0.33009,286650
1.239,212.82,-0.31583,286390
1.2377,213.56,-0.30237,286140
1.2364,214.28,-0.28967,285890
1.2352,214.98,-0.27765,285660
1.234,215.66,-0.26627,285420
1.2328,216.31,-0.25549,285190
1.2317,216.95,-0.24526,284970
1.2306,217.57,-0.23555,284750
1.2295,218.16,-0.22632,284540
1.2284,218.75,-0.21755,284340
1.2274,219.31,-0.20919,284140
1.2264,219.85,-0.20124,283940
1.2254,220.38,-0.19365,283750
1.2244,220.9,-0.18641,283560
1.2235,221.4,-0.1795,283380
